# Wavelength[nm], Reflectance
1.414694935911578114e+03 5.458892920639143442e-01
1.414905700462956020e+03 5.425016589099272979e-01
1.415116709379031363e+03 5.410696739449327719e-01
1.415327718295106479e+03 5.339249625135509270e-01
1.415538849393530427e+03 5.242113744272157705e-01
1.415749858309605543e+03 5.230461295245985021e-01
1.415961111590378096e+03 5.219595327992857525e-01
1.416172364871150421e+03 5.234202187165750697e-01
1.416383740334271579e+03 5.216160781283760706e-01
1.416595115797392737e+03 5.167998189946181320e-01
1.416806491260513894e+03 5.197684480121500528e-01
1.417018111088332262e+03 5.078276751473583817e-01
1.417229730916150629e+03 5.096967772949747566e-01
1.417441350743968997e+03 5.066426266563898162e-01
1.417652970571787137e+03 5.031771559132809379e-01
1.417864834764302941e+03 4.988123365516894947e-01
1.418076821139167123e+03 4.966426038912195584e-01
1.418288563149334095e+03 4.990249706732098334e-01
1.418500671706546882e+03 4.923054064765527427e-01
1.418712780263759669e+03 4.880664928804128166e-01
1.418924888820972683e+03 4.796473066877372515e-01
1.419136997378185470e+03 4.718059239357558776e-01
1.419349228117746861e+03 4.698527827210419727e-01
1.419561581039657085e+03 4.597262517761177003e-01
1.419774056143915686e+03 4.481334774492327644e-01
1.419986409065825910e+03 4.415915498894675828e-01
1.420199006352433116e+03 4.463099334756193137e-01
1.420411481456691945e+03 4.410716722584527849e-01
1.420624323107996588e+03 4.263295371801473777e-01
1.420836920394603794e+03 4.181012658839394769e-01
1.421049762045908437e+03 4.156507547708707118e-01
1.421262603697213081e+03 4.184995713221429936e-01
1.421475445348517724e+03 4.089363791460502440e-01
1.421688531364519577e+03 4.146936627154821364e-01
1.421901617380521429e+03 4.160220808804097614e-01
1.422114825578871887e+03 4.169780288327729068e-01
1.422327911594873740e+03 4.122742122378944551e-01
1.422541241975572802e+03 4.053956685960120043e-01
1.422754572356271865e+03 4.068809236115243366e-01
1.422968024919319532e+03 4.061316562235700589e-01
1.423181233117670217e+03 4.052316567826939053e-01
1.423394930045415094e+03 4.005643926161948642e-01
1.423608504790811367e+03 3.969918722065162719e-01
1.423822201718556471e+03 3.986119436502256197e-01
1.424035898646301348e+03 4.004941991278363478e-01
1.424249717756395057e+03 4.024569423153757097e-01
1.424463659048837144e+03 3.997567706711493418e-01
1.424677355976582248e+03 3.986177678659862389e-01
1.424891541633721545e+03 3.936647952910480863e-01
1.425105605108512464e+03 3.949420494323384601e-01
1.425319790765651987e+03 3.943674405191669452e-01
1.425533976422791511e+03 3.981049161451293283e-01
1.425748284262279640e+03 3.955331501503845937e-01
1.425962592101767541e+03 4.011295958078718860e-01
1.426177022123604274e+03 4.033533681619809741e-01
1.426391452145441008e+03 4.028985707241389824e-01
1.426606004349626346e+03 4.101071773456131941e-01
1.426820678736160517e+03 4.132797108216871851e-01
1.427035353122694460e+03 4.143853261002301558e-01
1.427250027509228403e+03 4.179737083604441739e-01
1.427464824078110951e+03 4.253436670380897344e-01
1.427679865011690708e+03 4.190793754850103969e-01
1.427894661580573484e+03 4.194299295398651872e-01
1.428109702514153241e+03 4.126089667289498109e-01
1.428324865630081831e+03 4.123367371597523867e-01
1.428540028746010194e+03 4.048521014995635214e-01
1.428755191861938783e+03 4.090408619132323009e-01
1.428970477160215751e+03 4.148668704612860636e-01
1.429185884640841550e+03 4.169551884507385897e-01
1.429401414303815955e+03 4.162728475394667504e-01
1.429616821784441527e+03 4.323212984127115521e-01
1.429832351447415931e+03 4.616896883054281697e-01
1.430048003292738940e+03 4.724636276829707882e-01
1.430263532955713345e+03 4.873777498747506876e-01
1.430479429165733563e+03 4.992176922123766625e-01
1.430695325375753782e+03 4.996961160378086686e-01
1.430911343768122606e+03 5.029106869732862251e-01
1.431127239978142825e+03 4.990097562962263478e-01
1.431343258370511649e+03 4.835601781231687046e-01
1.431559398945229077e+03 4.779883768320208337e-01
1.431775539519946506e+03 4.644048980326703213e-01
1.431991802277012766e+03 4.543817484002684037e-01
1.432208187216427405e+03 4.473815595993038130e-01
1.432424572155842043e+03 4.341310133515295933e-01
1.432640957095256908e+03 4.105531054614889319e-01
1.432857464217020151e+03 3.892729040036724819e-01
1.433074093521132227e+03 3.763345696112216365e-01
1.433290845007592679e+03 3.515000741448551791e-01
1.433507474311704755e+03 3.379260712313710280e-01
1.433724347980514040e+03 3.135876130539193007e-01
1.433941221649323097e+03 2.869486152730703066e-01
1.434158095318132382e+03 2.634996551952836219e-01
1.434375091169290272e+03 2.478296545257132055e-01
1.434592209202796766e+03 2.312817034727510379e-01
1.434809449418651866e+03 2.234420709565242136e-01
1.435026567452158361e+03 2.107428955038249951e-01
1.435243929850362065e+03 2.125761236565877066e-01
1.435461292248565769e+03 2.237279401426377767e-01
1.435678654646769473e+03 2.368876794468517955e-01
1.435896139227321783e+03 2.510519119643142005e-01
1.436113745990222696e+03 2.738244091363077337e-01
1.436331352753123838e+03 2.944594098508671043e-01
1.436548959516024752e+03 3.155506714823933523e-01
1.436766810643622875e+03 3.373114011404540480e-01
1.436984661771221226e+03 3.592902059672170023e-01
1.436984783953569831e+03 3.571558636065541026e-01
1.437202512898819350e+03 3.664510354403697767e-01
1.437420364026417701e+03 3.912934448404679078e-01
1.437638581701061639e+03 4.143307904252565566e-01
1.437638703883410244e+03 4.067963682071615295e-01
1.437856799375705805e+03 4.191579305760331775e-01
1.438074894868001365e+03 4.309144978897873068e-01
1.438293112542645304e+03 4.374480419202452230e-01
1.438293234724993908e+03 4.423035831797215156e-01
1.438511452399638074e+03 4.440739283695491202e-01
1.438729792256630844e+03 4.485235438321755197e-01
1.438948254295972220e+03 4.584843538118259509e-01
1.438948376478320824e+03 4.651877134708429784e-01
1.439166838517662200e+03 4.647460357694189192e-01
1.439385544921700784e+03 4.616884892722639688e-01
1.439604129143390765e+03 4.828498306947419660e-01
1.439604251325739369e+03 4.861648989335355941e-01
1.440260492720203729e+03 5.130912256274670069e-01
1.440917711573457154e+03 5.292013914282660547e-01
1.441575419156104999e+03 5.456603125932980580e-01
1.442233737650496096e+03 5.498959609625335698e-01
